Date,Description,Original Description,Amount,Transaction Type,Category,Account Name,Original Value,Original Currency
2025-07-01,RECARGA felipe sanchezJulio 2025,RECARGA felipe sanchezJulio 2025,300.0,credit,,Industrial GTQ,300.0,GTQ
2025-07-01,Pago USD tarjeta gyt Junio,Pago USD tarjeta gyt Junio,-6.99,debit,,Industrial GTQ,6.99,GTQ
2025-07-01,PAGO DE RENTA JULIO 2025 AZURE 14,PAGO DE RENTA JULIO 2025 AZURE 14,-1500.0,debit,,Industrial GTQ,1500.0,GTQ
2025-07-07,Pago GyT Julio,Pago GyT Julio,-127.13,debit,,Industrial GTQ,127.13,GTQ
2025-07-15,INTERNACIONAL,INTERNACIONAL,3286.75,credit,,Industrial GTQ,3286.75,GTQ
2025-07-18,Pago TC bam,Pago TC bam,-1.0,debit,,Industrial GTQ,1.0,GTQ
2025-07-29,Pago TC GyT Julio,Pago TC GyT Julio,-1639.66,debit,,Industrial GTQ,1639.66,GTQ
